Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,symmetric,0.01,0.41565457948440415
100% Corpus,7,symmetric,0.31,0.4191501865118509
100% Corpus,7,symmetric,0.61,0.39452216356732306
100% Corpus,7,symmetric,0.9099999999999999,0.4008557516785799
100% Corpus,7,symmetric,symmetric,0.4245307545429449
100% Corpus,8,0.01,0.01,0.42874992983260496
100% Corpus,8,0.01,0.31,0.4268234768157455
100% Corpus,8,0.01,0.61,0.4110340063533901
100% Corpus,8,0.01,0.9099999999999999,0.4092324740171055
100% Corpus,8,0.01,symmetric,0.4077707197488879
100% Corpus,8,0.31,0.01,0.4241472219219113
100% Corpus,8,0.31,0.31,0.42006647493726623
100% Corpus,8,0.31,0.61,0.38994443797619016
100% Corpus,8,0.31,0.9099999999999999,0.4194356110389694
100% Corpus,8,0.31,symmetric,0.4174867705072501
100% Corpus,8,0.61,0.01,0.43125212653716016
100% Corpus,8,0.61,0.31,0.4283543214982789
100% Corpus,8,0.61,0.61,0.43294215260855096
100% Corpus,8,0.61,0.9099999999999999,0.4276345612881406
100% Corpus,8,0.61,symmetric,0.4309721777483824
100% Corpus,8,0.9099999999999999,0.01,0.4315949834190709
100% Corpus,8,0.9099999999999999,0.31,0.43450750957383144
100% Corpus,8,0.9099999999999999,0.61,0.4346185677361333
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4381045044772335
100% Corpus,8,0.9099999999999999,symmetric,0.4345391268059487
100% Corpus,8,symmetric,0.01,0.4092118065830946
100% Corpus,8,symmetric,0.31,0.40048371882028366
100% Corpus,8,symmetric,0.61,0.42874009187995027
100% Corpus,8,symmetric,0.9099999999999999,0.4125149470465721
100% Corpus,8,symmetric,symmetric,0.3887852268890416
100% Corpus,9,0.01,0.01,0.38941814638963074
100% Corpus,9,0.01,0.31,0.39359982213572603
100% Corpus,9,0.01,0.61,0.41585417789493717
100% Corpus,9,0.01,0.9099999999999999,0.40393337850449695
100% Corpus,9,0.01,symmetric,0.41845387840538745
100% Corpus,9,0.31,0.01,0.3625769624614504
100% Corpus,9,0.31,0.31,0.41116203835989595
100% Corpus,9,0.31,0.61,0.3998979060766211
100% Corpus,9,0.31,0.9099999999999999,0.4031594048058175
100% Corpus,9,0.31,symmetric,0.40356333578602727
100% Corpus,9,0.61,0.01,0.42529025032632994
100% Corpus,9,0.61,0.31,0.42691765128961917
100% Corpus,9,0.61,0.61,0.43349049227041736
100% Corpus,9,0.61,0.9099999999999999,0.4410129143426604
100% Corpus,9,0.61,symmetric,0.42720750786938233
100% Corpus,9,0.9099999999999999,0.01,0.4341661803615182
100% Corpus,9,0.9099999999999999,0.31,0.4358735175193695
100% Corpus,9,0.9099999999999999,0.61,0.4340809010388037
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.44092434158315696
100% Corpus,9,0.9099999999999999,symmetric,0.43966953404725395
100% Corpus,9,symmetric,0.01,0.3991307025127842
100% Corpus,9,symmetric,0.31,0.4247898766980866
100% Corpus,9,symmetric,0.61,0.37498104766586693
100% Corpus,9,symmetric,0.9099999999999999,0.3794091910434572
100% Corpus,9,symmetric,symmetric,0.4017184353120633
