Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.31,0.01,-1.7774449855289645
100% Corpus,2,0.31,0.31,-1.782603112490206
100% Corpus,2,0.31,0.61,-1.7883382111455066
100% Corpus,2,0.31,0.9099999999999999,-1.7984642978965377
100% Corpus,2,0.31,symmetric,-1.835147942391008
100% Corpus,2,0.61,0.01,-1.8723149378695165
100% Corpus,2,0.61,0.31,-1.8719614525739212
100% Corpus,2,0.61,0.61,-1.8011534303163508
100% Corpus,2,0.61,0.9099999999999999,-1.8682896089001475
100% Corpus,2,0.61,symmetric,-1.7976632717207157
100% Corpus,2,0.9099999999999999,0.01,-1.8636787313478833
100% Corpus,2,0.9099999999999999,0.31,-1.7988055550080446
100% Corpus,2,0.9099999999999999,0.61,-1.8128817562783128
100% Corpus,2,0.9099999999999999,0.9099999999999999,-1.846919714885848
100% Corpus,2,0.9099999999999999,symmetric,-1.7990178391273222
100% Corpus,2,symmetric,0.01,-1.877582852935975
100% Corpus,2,symmetric,0.31,-1.8788076399214777
100% Corpus,2,symmetric,0.61,-1.8728051456625312
100% Corpus,2,symmetric,0.9099999999999999,-1.8289688123978087
100% Corpus,2,symmetric,symmetric,-1.8299886471177387
100% Corpus,2,asymmetric,0.01,-1.7649451544594674
100% Corpus,2,asymmetric,0.31,-1.742176782532174
100% Corpus,2,asymmetric,0.61,-1.729712743562515
100% Corpus,2,asymmetric,0.9099999999999999,-1.8394331925961902
100% Corpus,2,asymmetric,symmetric,-1.7372493213445388
100% Corpus,3,0.01,0.01,-1.8532778396604812
100% Corpus,3,0.01,0.31,-1.8050923048912437
100% Corpus,3,0.01,0.61,-1.824651731027459
100% Corpus,3,0.01,0.9099999999999999,-2.153302978869249
100% Corpus,3,0.01,symmetric,-1.7921977716284665
100% Corpus,3,0.31,0.01,-1.7962346927723933
100% Corpus,3,0.31,0.31,-1.786245914867502
100% Corpus,3,0.31,0.61,-1.8611993398233857
100% Corpus,3,0.31,0.9099999999999999,-1.86039011389815
100% Corpus,3,0.31,symmetric,-1.7827752298692676
100% Corpus,3,0.61,0.01,-1.8714783718311745
100% Corpus,3,0.61,0.31,-1.8105812251341071
100% Corpus,3,0.61,0.61,-1.888114478999147
100% Corpus,3,0.61,0.9099999999999999,-1.8302489811963458
100% Corpus,3,0.61,symmetric,-1.8128466365867928
100% Corpus,3,0.9099999999999999,0.01,-1.8642611688364161
100% Corpus,3,0.9099999999999999,0.31,-1.8182171529937106
100% Corpus,3,0.9099999999999999,0.61,-1.885897429675463
100% Corpus,3,0.9099999999999999,0.9099999999999999,-1.8776414357972353
100% Corpus,3,0.9099999999999999,symmetric,-1.8186448115031617
100% Corpus,3,symmetric,0.01,-1.813174358654808
100% Corpus,3,symmetric,0.31,-1.8569675634553473
100% Corpus,3,symmetric,0.61,-1.8281913149292537
100% Corpus,3,symmetric,0.9099999999999999,-1.8447319175269474
100% Corpus,3,symmetric,symmetric,-1.8514093208898181
100% Corpus,3,asymmetric,0.01,-2.090124760455979
100% Corpus,3,asymmetric,0.31,-2.1683255307724703
100% Corpus,3,asymmetric,0.61,-2.0324885415497924
100% Corpus,3,asymmetric,0.9099999999999999,-2.270597008311778
100% Corpus,3,asymmetric,symmetric,-2.160450326026156
100% Corpus,4,0.01,0.01,-1.9874434232353797
100% Corpus,4,0.01,0.31,-1.978856082885607
100% Corpus,4,0.01,0.61,-2.043409869395131
100% Corpus,4,0.01,0.9099999999999999,-2.3209339018408004
100% Corpus,4,0.01,symmetric,-2.017547706443749
100% Corpus,4,0.31,0.01,-2.0166739919946486
100% Corpus,4,0.31,0.31,-1.9681111036823014
100% Corpus,4,0.31,0.61,-2.0407517433582463
100% Corpus,4,0.31,0.9099999999999999,-2.387401203789283
100% Corpus,4,0.31,symmetric,-1.9607821797154004
100% Corpus,4,0.61,0.01,-1.8790071503333126
100% Corpus,4,0.61,0.31,-2.078740418484049
100% Corpus,4,0.61,0.61,-2.2539959579325624
100% Corpus,4,0.61,0.9099999999999999,-2.338626925847078
100% Corpus,4,0.61,symmetric,-2.073376751584406
100% Corpus,4,0.9099999999999999,0.01,-2.0807439859248373
100% Corpus,4,0.9099999999999999,0.31,-2.148250046184913
100% Corpus,4,0.9099999999999999,0.61,-2.146368694642417
100% Corpus,4,0.9099999999999999,0.9099999999999999,-2.1940842568773147
100% Corpus,4,0.9099999999999999,symmetric,-2.1026962081092138
100% Corpus,4,symmetric,0.01,-2.0051079907380567
100% Corpus,4,symmetric,0.31,-2.0558960111300673
100% Corpus,4,symmetric,0.61,-2.163210216854505
100% Corpus,4,symmetric,0.9099999999999999,-2.2443605344488384
100% Corpus,4,symmetric,symmetric,-2.1252402565266224
100% Corpus,4,asymmetric,0.01,-2.3086514834888208
100% Corpus,4,asymmetric,0.31,-2.0687382613112453
100% Corpus,4,asymmetric,0.61,-2.1376159373034818
100% Corpus,4,asymmetric,0.9099999999999999,-3.3284486995835234
100% Corpus,4,asymmetric,symmetric,-2.0277241888144917
100% Corpus,5,0.01,0.01,-2.4237055317961724
100% Corpus,5,0.01,0.31,-2.8229930128085607
100% Corpus,5,0.01,0.61,-2.677185012258041
100% Corpus,5,0.01,0.9099999999999999,-2.98451156055628
100% Corpus,5,0.01,symmetric,-2.90103203201277
100% Corpus,5,0.31,0.01,-2.477812495585937
100% Corpus,5,0.31,0.31,-2.807699729791949
100% Corpus,5,0.31,0.61,-2.8473178271182786
100% Corpus,5,0.31,0.9099999999999999,-3.527398313832177
100% Corpus,5,0.31,symmetric,-2.466196061493137
100% Corpus,5,0.61,0.01,-2.755416359053933
100% Corpus,5,0.61,0.31,-2.982445310529683
100% Corpus,5,0.61,0.61,-3.227674890936467
100% Corpus,5,0.61,0.9099999999999999,-3.6576333962491345
100% Corpus,5,0.61,symmetric,-2.907402097904387
100% Corpus,5,0.9099999999999999,0.01,-2.5555811285524905
100% Corpus,5,0.9099999999999999,0.31,-2.6536405769415468
100% Corpus,5,0.9099999999999999,0.61,-3.0404440192294877
100% Corpus,5,0.9099999999999999,0.9099999999999999,-3.223340109571847
100% Corpus,5,0.9099999999999999,symmetric,-2.500123414126791
100% Corpus,5,symmetric,0.01,-2.5877092024901813
100% Corpus,5,symmetric,0.31,-2.7231764462045964
100% Corpus,5,symmetric,0.61,-3.0311849550405094
100% Corpus,5,symmetric,0.9099999999999999,-3.6418403626363185
100% Corpus,5,symmetric,symmetric,-2.4354702158280856
100% Corpus,5,asymmetric,0.01,-2.718570725169486
100% Corpus,5,asymmetric,0.31,-3.172428232259577
100% Corpus,5,asymmetric,0.61,-4.37897687689466
100% Corpus,5,asymmetric,0.9099999999999999,-5.134740277275817
100% Corpus,5,asymmetric,symmetric,-3.0027708741382666
100% Corpus,6,0.01,0.01,-2.7194566564112086
100% Corpus,6,0.01,0.31,-2.7960203867902798
100% Corpus,6,0.01,0.61,-2.949526790225478
100% Corpus,6,0.01,0.9099999999999999,-3.0341230785778444
100% Corpus,6,0.01,symmetric,-2.699716103850728
100% Corpus,6,0.31,0.01,-2.863779408544412
100% Corpus,6,0.31,0.31,-2.796041737503149
100% Corpus,6,0.31,0.61,-2.868044430859437
100% Corpus,6,0.31,0.9099999999999999,-4.282765007902088
100% Corpus,6,0.31,symmetric,-2.85136477655876
100% Corpus,6,0.61,0.01,-2.468475661451482
100% Corpus,6,0.61,0.31,-2.9040616021397114
100% Corpus,6,0.61,0.61,-3.37474914644676
100% Corpus,6,0.61,0.9099999999999999,-4.341102569946568
100% Corpus,6,0.61,symmetric,-2.469646783872266
100% Corpus,6,0.9099999999999999,0.01,-2.3630643149655675
100% Corpus,6,0.9099999999999999,0.31,-2.4740874650887235
100% Corpus,6,0.9099999999999999,0.61,-2.6519699650037727
100% Corpus,6,0.9099999999999999,0.9099999999999999,-2.8258058111598596
100% Corpus,6,0.9099999999999999,symmetric,-2.5751735381338015
100% Corpus,6,symmetric,0.01,-2.738729347534503
100% Corpus,6,symmetric,0.31,-2.8315219221031644
100% Corpus,6,symmetric,0.61,-3.0002039757814125
100% Corpus,6,symmetric,0.9099999999999999,-4.215512224226182
100% Corpus,6,symmetric,symmetric,-2.7022787410991853
100% Corpus,6,asymmetric,0.01,-2.415900179816406
100% Corpus,6,asymmetric,0.31,-2.6209550581953502
100% Corpus,6,asymmetric,0.61,-5.133454755127077
100% Corpus,6,asymmetric,0.9099999999999999,-7.091521552360487
100% Corpus,6,asymmetric,symmetric,-2.7860582423221767
100% Corpus,7,0.01,0.01,-2.401930873573448
100% Corpus,7,0.01,0.31,-2.483617428249246
100% Corpus,7,0.01,0.61,-2.6004403700985512
100% Corpus,7,0.01,0.9099999999999999,-2.9633476084317
100% Corpus,7,0.01,symmetric,-2.5241810762702372
100% Corpus,7,0.31,0.01,-2.6539725184532243
100% Corpus,7,0.31,0.31,-2.906133584385397
100% Corpus,7,0.31,0.61,-3.0453952698991626
100% Corpus,7,0.31,0.9099999999999999,-4.260756630486221
